"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"OBS";"HD"
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;1;15;23,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;2;13;23,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;3;15;24,7;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;4;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;5;15;24,3;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;6;14;22,4;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;7;16;23,9;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;8;15;24,2;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;9;13,5;22,6;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;10;15;24,1;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;11;15;25,4;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;12;14,5;24,3;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;13;16;24,9;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;14;14;23,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;15;16;24,3;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;16;10;17,6;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;17;15;24,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;18;13,5;23,3;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;19;16;25,3;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;20;12;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;21;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;22;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;23;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;24;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;25;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;26;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;27;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;28;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;29;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;30;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;31;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;32;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;33;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;34;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;35;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;36;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;37;16;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;38;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;39;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;40;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;41;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;42;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;43;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;44;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;45;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;46;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;47;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;48;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;49;10;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;50;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;51;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;52;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;53;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;54;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;55;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;56;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;57;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;58;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;59;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;60;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;61;13,5;NA;"N";25,04
