"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"HD";"HT_EST";"VCC";"VSC";"AS";"I"
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;1;15;23,8;25,04;23,8;0,201105283562821;0,176161438826726;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;2;13;23,8;25,04;23,8;0,153462740770522;0,133878473211071;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;3;15;24,7;25,04;24,7;0,207992151284817;0,182200803681242;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;4;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;5;15;24,3;25,04;24,3;0,204934248626201;0,179519181311353;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;6;14;22,4;25,04;22,4;0,16708103453715;0,146059717259507;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;7;16;23,9;25,04;23,9;0,228051044971354;0,200135358903407;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;8;15;24,2;25,04;24,2;0,20416904550259;0,178848144586764;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;9;13,5;22,6;25,04;22,6;0,157249016152671;0,137322848342242;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;10;15;24,1;25,04;24,1;0,203403548771922;0,178176853135313;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;11;15;25,4;25,04;25,4;0,213332474578335;0,18688409372911;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;12;14,5;24,3;25,04;24,3;0,192219228973721;0,168217647304497;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;13;16;24,9;25,04;24,9;0,23669052996848;0,207725723080353;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;14;14;23,8;25,04;23,8;0,176527267181261;0,154326741820413;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;15;16;24,3;25,04;24,3;0,231510789731585;0,203174938528769;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;16;10;17,6;25,04;17,6;0,071092674405832;0,0615375330671741;0,00785398163397448;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;17;15;24,8;25,04;24,8;0,208755905951627;0,182870583742098;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;18;13,5;23,3;25,04;23,3;0,161661112794716;0,141180123344548;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;19;16;25,3;25,04;25,3;0,240137240648209;0,210753973533287;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;20;12;NA;25,04;22,3502467492672;0,124613101400728;0,108454872360835;0,0113097335529233;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;21;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;22;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;23;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;24;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;25;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;26;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;27;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;28;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;29;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;30;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;31;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;32;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;33;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;34;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;35;14,5;NA;25,04;24,2206838497651;0,191649978441468;0,167718933267414;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;36;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;37;16;NA;25,04;25,1126900431006;0,238523867314027;0,209336471601761;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;38;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;39;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;40;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;41;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;42;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;43;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;44;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;45;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;46;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;47;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;48;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
