ARVORE;DAP;HT;hi;di_cc;e_casca
1;12,41408556;22,1;0,1;13,05070533;6
1;12,41408556;22,1;0,5;12,5732405;6
1;12,41408556;22,1;1;12,41408556;5
1;12,41408556;22,1;1,5;12,25493062;5
1;12,41408556;22,1;2;11,77746579;4
1;12,41408556;22,1;4;11,30000096;4
1;12,41408556;22,1;6;10,50422624;3
1;12,41408556;22,1;8;9,549296586;3
1;12,41408556;22,1;10;8,594366927;3
1;12,41408556;22,1;12;8,116902098;3
1;12,41408556;22,1;14;7,321127382;2
1;12,41408556;22,1;16;6,843662553;2
1;12,41408556;22,1;18;5,092958179;2
1;12,41408556;22,1;20;4,13802852;1
1;12,41408556;22,1;22;2,864788976;1
2;13,05070533;22,3;0,1;15,27887454;6
2;13,05070533;22,3;0,5;14,96056465;6
2;13,05070533;22,3;1;13,84648005;5
2;13,05070533;22,3;1,5;12,73239545;5
2;13,05070533;22,3;2;12,41408556;4
2;13,05070533;22,3;4;11,93662073;4
2;13,05070533;22,3;6;11,30000096;4
2;13,05070533;22,3;8;10,66338119;4
2;13,05070533;22,3;10;9,708451529;3
2;13,05070533;22,3;12;8,75352187;2
2;13,05070533;22,3;14;7,002817496;2
2;13,05070533;22,3;16;5,888732894;2
2;13,05070533;22,3;18;4,61549335;2
2;13,05070533;22,3;20;2,546479089;1
2;13,05070533;22,3;22;0,954929659;1
3;13,20986028;20;0,1;15,27887454;9
3;13,20986028;20;0,5;14,16478994;8
3;13,20986028;20;1;13,84648005;6
3;13,20986028;20;1,5;13,20986028;5
3;13,20986028;20;2;12,5732405;5
3;13,20986028;20;4;11,77746579;4
3;13,20986028;20;6;10,66338119;4
3;13,20986028;20;8;9,708451529;2
3;13,20986028;20;10;8,594366927;3
3;13,20986028;20;12;7,798592212;3
3;13,20986028;20;14;6,047887837;2
3;13,20986028;20;16;4,13802852;2
3;13,20986028;20;18;2,546479089;1
3;13,20986028;20;20;0,954929659;1
4;13,20986028;19,4;0,1;15,27887454;6
4;13,20986028;19,4;0,5;14,32394488;5
4;13,20986028;19,4;1;13,52817016;5
4;13,20986028;19,4;1,5;13,05070533;5
4;13,20986028;19,4;2;12,89155039;4
4;13,20986028;19,4;4;12,5732405;3
4;13,20986028;19,4;6;11,77746579;3
4;13,20986028;19,4;8;10,82253613;3
4;13,20986028;19,4;10;9,230986699;2
4;13,20986028;19,4;12;7,639437268;2
4;13,20986028;19,4;14;6,366197724;2
4;13,20986028;19,4;16;4,456338407;2
4;13,20986028;19,4;18;2,228169203;1
5;13,36901522;23,7;0,1;15,43802948;6
5;13,36901522;23,7;0,5;14,00563499;6
5;13,36901522;23,7;1;13,52817016;6
5;13,36901522;23,7;1,5;13,05070533;5
5;13,36901522;23,7;2;12,89155039;4
5;13,36901522;23,7;4;12,25493062;4
5;13,36901522;23,7;6;11,61831085;4
5;13,36901522;23,7;8;10,66338119;4
5;13,36901522;23,7;10;9,867606472;5
5;13,36901522;23,7;12;8,912676813;3
5;13,36901522;23,7;14;7,957747155;3
5;13,36901522;23,7;16;6,68450761;3
5;13,36901522;23,7;18;5,570423008;3
5;13,36901522;23,7;20;4,297183463;2
5;13,36901522;23,7;22;2,228169203;1
6;13,52817016;21,5;0,1;14,96056465;7
6;13,52817016;21,5;0,5;14,32394488;6
6;13,52817016;21,5;1;13,52817016;5
6;13,52817016;21,5;1,5;13,36901522;4
6;13,52817016;21,5;2;13,05070533;4
6;13,52817016;21,5;4;12,09577567;3
6;13,52817016;21,5;6;11,14084602;3
6;13,52817016;21,5;8;10,18591636;2
6;13,52817016;21,5;10;9,230986699;2
6;13,52817016;21,5;12;8,276057041;2
6;13,52817016;21,5;14;6,68450761;2
6;13,52817016;21,5;16;5,888732894;2
6;13,52817016;21,5;18;3,342253805;1
6;13,52817016;21,5;20;1,591549431;1
7;13,68732511;22,7;0,1;15,27887454;6
7;13,68732511;22,7;0,5;14,64225476;5
7;13,68732511;22,7;1;13,68732511;5
7;13,68732511;22,7;1,5;13,52817016;5
7;13,68732511;22,7;2;13,36901522;5
7;13,68732511;22,7;4;12,41408556;4
7;13,68732511;22,7;6;11,77746579;4
7;13,68732511;22,7;8;10,82253613;3
7;13,68732511;22,7;10;9,867606472;3
7;13,68732511;22,7;12;8,912676813;4
7;13,68732511;22,7;14;8,276057041;3
7;13,68732511;22,7;16;7,321127382;3
7;13,68732511;22,7;18;5,570423008;2
7;13,68732511;22,7;20;4,297183463;2
7;13,68732511;22,7;22;2,228169203;1
8;14,32394488;25,45;0,1;15,59718442;5
8;14,32394488;25,45;0,5;14,96056465;5
8;14,32394488;25,45;1;14,32394488;5
8;14,32394488;25,45;1,5;14,00563499;5
8;14,32394488;25,45;2;13,84648005;4
8;14,32394488;25,45;4;13,36901522;3
8;14,32394488;25,45;6;12,73239545;3
8;14,32394488;25,45;8;11,93662073;3
8;14,32394488;25,45;10;10,98169107;3
8;14,32394488;25,45;12;10,02676141;3
8;14,32394488;25,45;14;9,230986699;2
8;14,32394488;25,45;16;7,957747155;2
8;14,32394488;25,45;18;7,321127382;2
8;14,32394488;25,45;20;5,888732894;2
8;14,32394488;25,45;22;4,456338407;2
8;14,32394488;25,45;24;2,387324146;1
9;14,32394488;25,52;0,1;15,75633937;6
9;14,32394488;25,52;0,5;15,11971959;5
9;14,32394488;25,52;1;14,00563499;5
9;14,32394488;25,52;1,5;13,84648005;5
9;14,32394488;25,52;2;13,52817016;4
9;14,32394488;25,52;4;13,36901522;3
9;14,32394488;25,52;6;12,73239545;3
9;14,32394488;25,52;8;11,93662073;3
9;14,32394488;25,52;10;10,98169107;3
9;14,32394488;25,52;12;10,02676141;3
9;14,32394488;25,52;14;9,230986699;2
9;14,32394488;25,52;16;7,957747155;2
9;14,32394488;25,52;18;7,321127382;2
9;14,32394488;25,52;20;5,888732894;2
9;14,32394488;25,52;22;4,456338407;2
9;14,32394488;25,52;24;2,387324146;1
10;14,96056465;22,25;0,1;17,3478888;6
10;14,96056465;22,25;0,5;15,91549431;5
10;14,96056465;22,25;1;15,11971959;5
10;14,96056465;22,25;1,5;14,64225476;5
10;14,96056465;22,25;2;14,32394488;4
10;14,96056465;22,25;4;13,68732511;4
10;14,96056465;22,25;6;12,73239545;3
10;14,96056465;22,25;8;12,09577567;3
10;14,96056465;22,25;10;10,82253613;3
10;14,96056465;22,25;12;9,549296586;3
10;14,96056465;22,25;14;8,594366927;2
10;14,96056465;22,25;16;7,639437268;1
10;14,96056465;22,25;18;4,61549335;1
10;14,96056465;22,25;20;3,183098862;1
10;14,96056465;22,25;22;0,795774715;1
11;15,11971959;26,9;0,1;17,02957891;8
11;15,11971959;26,9;0,5;16,07464925;7
11;15,11971959;26,9;1;15,27887454;6
11;15,11971959;26,9;1,5;15,11971959;6
