"ARVORE";"DAP";"HT";"VCC";"VSC"
1;12,41408556;22,1;0,130679636964981;0,113420070540871
2;13,05070533;22,3;0,145330147910153;0,126290630152478
3;13,20986028;20;0,12579586809132;0,107832965372808
4;13,20986028;19,4;0,1385562150919;0,12314786770759
5;13,36901522;23,7;0,156426132144292;0,133396437372207
6;13,52817016;21,5;0,139033182569759;0,123964784301536
7;13,68732511;22,7;0,162844353614006;0,140816725226298
8;14,32394488;25,45;0,197736588070906;0,176808059259933
9;14,32394488;25,52;0,196600520181789;0,175651152875287
10;14,96056465;22,25;0,187573450794145;0,167745134373364
11;15,11971959;26,9;0,236513695225285;0,207062491600927
12;15,27887454;27,75;0,221435753807428;0,195856521439874
13;15,91549431;29,3;0,282746017872682;0,255798993473548
14;15,91549431;26,8;0,248467524554708;0,219786825364914
15;16,2338042;26,6;0,254175815596764;0,224580866401938
16;16,55211408;27,3;0,270572355791679;0,238516393309953
17;17,18873385;30,4;0,287314460994306;0,25227124408134
18;17,18873385;29,9;0,32157564610119;0,285733196896856
19;17,50704374;29,8;0,32611434723433;0,286115212164288
20;17,66619868;29,81;0,339633664374553;0,298487487269775
21;17,82535363;30,7;0,332211871490711;0,292974782886782
22;18,14366351;31,9;0,384053311619377;0,345536831440936
23;18,4619734;30,75;0,393924896989503;0,351128562811432
24;18,4619734;31,6;0,380565828916828;0,337758233673612
25;18,78028328;31,9;0,385151580266442;0,342106566877182
26;18,78028328;33,3;0,384151888182575;0,339144436733979
27;18,93943823;31,8;0,459138634937373;0,409491900299432
28;19,73521294;32,3;0,432792424076138;0,389801032382781
29;20,6901426;34,15;0,518604193625902;0,462080777555401
30;20,6901426;33,5;0,499904184098511;0,446909139721504
31;21,64507226;33,8;0,582034401492821;0,524392653573009
32;21,64507226;34,4;0,545103889569206;0,490472973513933
33;21,64507226;34,9;0,580288969157829;0,516231378283345
34;21,8042272;35,1;0,552345837358342;0,488062372583436
35;21,96338215;34,95;0,60023247618025;0,530255728202844
36;22,91831181;34,1;0,625355581205923;0,556432631918345
37;23,55493158;34,6;0,661126450475479;0,586928293204758
38;23,87324146;34,7;0,630586904716669;0,555289464247914
39;23,87324146;35,2;0,68038340284885;0,603898592916092
40;23,55493158;34,6;0,660877174013321;0,582110525210222
41;22,60000192;35;0,612357695420494;0,543536761618516
42;23,39577663;35,1;0,68186354375857;0,597968067859399
43;24,19155135;35;0,678045615758191;0,605336516013323
44;24,19155135;34,7;0,684189493842559;0,602639440522971
45;24,19155135;33,78;0,597289402901738;0,53646271912549
46;24,19155135;34,95;0,687761825979959;0,610775299234037
47;24,82817112;35,2;0,702414923102582;0,623524661838278
48;25,78310078;35,6;0,790129390165257;0,703161770474532
49;25,78310078;35,25;0,755958127517976;0,682825808763858
50;26,41972055;35,55;0,83246002934104;0,745055728237976
51;26,73803044;35,8;0,876367197665632;0,783254462924598
52;26,73803044;36,1;0,81496681212658;0,724360635697182
53;27,37465021;35,6;0,855743203823981;0,766228154844585
54;10,18591636;13,98;0,0516102675813448;0,0440933472023829
55;10,18591636;19,12;0,0763046490828583;0,0656166689595496
56;10,50422624;16,66;0,0771906447548148;0,0665612553406061
57;10,50422624;17,83;0,0751683822584575;0,0658836919667191
58;11,77746579;19,69;0,106480227339314;0,0925697405718422
59;11,93662073;18,68;0,114419671662025;0,0992932225022585
60;11,93662073;19,62;0,118741524186564;0,102591437850707
61;13,20986028;24,01;0,147697776628632;0,131162068620067
62;13,36901522;24,2;0,156165515894492;0,132595584393801
63;13,52817016;23,55;0,153758595776114;0,133285724033019
64;14,00563499;22,87;0,175757887296935;0,151526630580747
65;14,00563499;23,42;0,175111419794531;0,150224694048787
66;14,00563499;23,3;0,18022447132385;0,157719484529838
67;12,73239545;19,84;0,139600768897358;0,122067928138627
68;14,32394488;23,19;0,182127467068119;0,158152973630146
69;14,64225476;22,25;0,201616387718833;0,177418847826928
70;15,27887454;24,78;0,210643556538838;0,182444753358602
71;15,43802948;26,37;0,248260324773534;0,219834539300048
72;15,75633937;23,57;0,200291920148839;0,173239632455147
73;15,27887454;23,44;0,20191291325871;0,175530776011185
74;14,96056465;24,53;0,192792638707939;0,167798893058577
