"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca";"di_sc";"AS_CC";"AS_SC";"VCC";"VSC"
1;12,41408556;22,1;0,1;13,05070533;6;11,85070533;0,0133769729596262;0,0110300702958218;0,00515860958983394;0,00423784852433951
1;12,41408556;22,1;0,5;12,5732405;6;11,3732405;0,0124160749895435;0,0101591723258757;0,00612995210235122;0,00509786139056506
1;12,41408556;22,1;1;12,41408556;5;11,41408556;0,0121037334198614;0,0102322732363845;0,00597477603586582;0,00504529594400599
1;12,41408556;22,1;1,5;12,25493062;5;11,25493062;0,0117953707236019;0,00994891053963942;0,00567238164511542;0,00485333296970146
1;12,41408556;22,1;2;11,77746579;4;10,97746579;0,0108941558568598;0,00946442133916644;0,0209229067092817;0,0181234376739861
1;12,41408556;22,1;4;11,30000096;4;10,50000096;0,0100287508524219;0,00865901633481964;0,0186947374970682;0,0163632773137314
1;12,41408556;22,1;6;10,50422624;3;9,90422624;0,0086659866446463;0,00770426097891173;0,015827959084511;0,0139945077526129
1;12,41408556;22,1;8;9,549296586;3;8,949296586;0,00716197243986471;0,00629024677370119;0,0129631701156151;0,0113097187833304
1;12,41408556;22,1;10;8,594366927;3;7,994366927;0,00580119767575041;0,00501947200962917;0,0109757227634252;0,0094572714311567
1;12,41408556;22,1;12;8,116902098;3;7,516902098;0,00517452508767475;0,00443779942152753;0,00938417333219412;0,00820001403667553
1;12,41408556;22,1;14;7,321127382;2;6,921127382;0,00420964824451937;0,003762214615148;0,00788811686678294;0,00702324960802288
1;12,41408556;22,1;16;6,843662553;2;6,443662553;0,00367846862226357;0,00326103499287488;0,00571565189388731;0,00499078463510925
1;12,41408556;22,1;18;5,092958179;2;4,692958179;0,00203718327162374;0,00172974964223437;0,00338204254049722;0,00294775050377367
1;12,41408556;22,1;20;4,13802852;1;3,93802852;0,00134485926887348;0,0012180008615393;0,00198943678855131;0,00177571997385985
1;12,41408556;22,1;22;2,864788976;1;2,664788976;0,000644577519677824;0,000557719112320547;NA;NA
2;13,05070533;22,3;0,1;15,27887454;6;14,07887454;0,0183346494518137;0,0155677467867438;0,00718266258296276;0,00608790151707871
2;13,05070533;22,3;0,5;14,96056465;6;13,76056465;0,0175786634630002;0,0148717607986497;0,00815917762961705;0,0069583369175749
2;13,05070533;22,3;1;13,84648005;5;12,84648005;0,0150580470554681;0,0129615868716499;0,00694761062702911;0,00594313053505551
2;13,05070533;22,3;1,5;12,73239545;5;11,73239545;0,0127323954526484;0,0108109352685721;0,00620903221812743;0,00535123354275942
2;13,05070533;22,3;2;12,41408556;4;11,61408556;0,0121037334198614;0,0105939989024655;0,0232943153524625;0,0203348463177619
2;13,05070533;22,3;4;11,93662073;4;11,13662073;0,0111905819326011;0,00974084741529632;0,0212193327850231;0,018399863750116
2;13,05070533;22,3;6;11,30000096;4;10,50000096;0,0100287508524219;0,00865901633481964;0,018959332601428;0,0162998635659258
2;13,05070533;22,3;8;10,66338119;4;9,86338119;0,00893058174900602;0,0076408472311062;0,0163332760401692;0,0141568158561146
2;13,05070533;22,3;10;9,708451529;3;9,108451529;0,00740269429116322;0,00651596862500836;0,0134207405767509;0,0119965812812138
2;13,05070533;22,3;12;8,75352187;2;8,35352187;0,00601804628558771;0,00548061265620547;0,00986959590836384;0,00890472864959869
2;13,05070533;22,3;14;7,002817496;2;6,602817496;0,00385154962277613;0,00342411599339322;0,00657508858606607;0,00579022132732266
2;13,05070533;22,3;16;5,888732894;2;5,488732894;0,00272353896328994;0,00236610533392944;0,00439665530278639;0,0037617880440192
2;13,05070533;22,3;18;4,61549335;2;4,21549335;0,00167311633949645;0,00139568271008976;0,00218241215720239;0,00182812012046406
2;13,05070533;22,3;20;2,546479089;1;2,346479089;0,000509295817705935;0,0004324374103743;0,000580915542164582;0,000477198727472443
2;13,05070533;22,3;22;0,954929659;1;0,754929659;7,16197244586471e-05;4,47613170981428e-05;NA;NA
3;13,20986028;20;0,1;15,27887454;9;13,47887454;0,0183346494518137;0,0142691184558559;0,00681859565308547;0,00533370183961752
3;13,20986028;20;0,5;14,16478994;8;12,56478994;0,0157583288136137;0,0123993907422317;0,00770409396727044;0,00624013378325989
3;13,20986028;20;1;13,84648005;6;12,64648005;0,0150580470554681;0,0125611443908078;0,0071908192748668;0,00606747856265424
3;13,20986028;20;1,5;13,20986028;5;12,20986028;0,0137052300439992;0,0117087698598091;0,00653032625838567;0,00555709616659038
3;13,20986028;20;2;12,5732405;5;11,5732405;0,0124160749895435;0,0105196148065524;0,0233102308464033;0,0199840361457188
